,Action,word,Start_time,End_time,duration,time
174,StartReading,CABALLO,2022-06-28 11:18:03.072,2022-06-28 11:18:03.783,364,2022-06-28 11:18:03.477
175,StartSaying,CABALLO,2022-06-28 11:18:03.783,2022-06-28 11:18:05.789,1027,2022-06-28 11:18:04.188
176,EndSaying,CABALLO,2022-06-28 11:18:05.789,2022-06-28 11:18:07.595,925,2022-06-28 11:18:06.193
177,StartReading,PIANO,2022-06-28 11:18:07.595,2022-06-28 11:18:08.306,364,2022-06-28 11:18:08.000
178,StartSaying,PIANO,2022-06-28 11:18:08.306,2022-06-28 11:18:10.314,1028,2022-06-28 11:18:08.710
179,EndSaying,PIANO,2022-06-28 11:18:10.314,2022-06-28 11:18:12.078,903,2022-06-28 11:18:10.717
180,StartReading,PERRO,2022-06-28 11:18:12.078,2022-06-28 11:18:12.787,363,2022-06-28 11:18:12.481
181,StartSaying,PERRO,2022-06-28 11:18:12.787,2022-06-28 11:18:14.794,1028,2022-06-28 11:18:13.192
182,EndSaying,PERRO,2022-06-28 11:18:14.794,2022-06-28 11:18:16.660,955,2022-06-28 11:18:15.199
183,StartReading,CAMISETA,2022-06-28 11:18:16.660,2022-06-28 11:18:17.371,364,2022-06-28 11:18:17.065
184,StartSaying,CAMISETA,2022-06-28 11:18:17.371,2022-06-28 11:18:19.375,1026,2022-06-28 11:18:17.775
185,EndSaying,CAMISETA,2022-06-28 11:18:19.375,2022-06-28 11:18:28.757,4804,2022-06-28 11:18:19.779
186,StartBlockSaying,,2022-06-28 11:18:28.757,2022-06-28 11:18:30.562,924,2022-06-28 11:18:29.162
187,StartReading,CAMISETA,2022-06-28 11:18:30.562,2022-06-28 11:18:31.271,363,2022-06-28 11:18:30.966
188,StartSaying,CAMISETA,2022-06-28 11:18:31.271,2022-06-28 11:18:33.279,1028,2022-06-28 11:18:31.676
189,EndSaying,CAMISETA,2022-06-28 11:18:33.279,2022-06-28 11:18:35.062,913,2022-06-28 11:18:33.682
190,StartReading,LECHUGA,2022-06-28 11:18:35.062,2022-06-28 11:18:35.773,364,2022-06-28 11:18:35.466
191,StartSaying,LECHUGA,2022-06-28 11:18:35.773,2022-06-28 11:18:37.779,1027,2022-06-28 11:18:36.177
192,EndSaying,LECHUGA,2022-06-28 11:18:37.779,2022-06-28 11:18:39.472,867,2022-06-28 11:18:38.182
193,StartReading,ZAPATO,2022-06-28 11:18:39.472,2022-06-28 11:18:40.179,362,2022-06-28 11:18:39.875
194,EndReading,ZAPATO,2022-06-28 11:18:40.179,2022-06-28 11:18:42.187,1028,2022-06-28 11:18:40.584
195,EndSaying,ZAPATO,2022-06-28 11:18:42.187,2022-06-28 11:18:43.703,776,2022-06-28 11:18:42.591
196,StartReading,PIE,2022-06-28 11:18:43.703,2022-06-28 11:18:44.410,362,2022-06-28 11:18:44.105
197,EndReading,PIE,2022-06-28 11:18:44.410,2022-06-28 11:18:46.416,1027,2022-06-28 11:18:44.814
198,EndSaying,PIE,2022-06-28 11:18:46.416,2022-06-28 11:18:48.003,813,2022-06-28 11:18:46.819
199,StartReading,CABALLO,2022-06-28 11:18:48.003,2022-06-28 11:18:48.714,364,2022-06-28 11:18:48.407
200,StartSaying,CABALLO,2022-06-28 11:18:48.714,2022-06-28 11:18:50.720,1027,2022-06-28 11:18:49.118
201,EndSaying,CABALLO,2022-06-28 11:18:50.720,2022-06-28 11:18:52.294,806,2022-06-28 11:18:51.123
202,StartReading,COPA,2022-06-28 11:18:52.294,2022-06-28 11:18:53.009,366,2022-06-28 11:18:52.699
203,StartSaying,COPA,2022-06-28 11:18:53.009,2022-06-28 11:18:55.013,1026,2022-06-28 11:18:53.412
204,EndSaying,COPA,2022-06-28 11:18:55.013,2022-06-28 11:18:56.908,970,2022-06-28 11:18:55.417
205,StartReading,CUCHARA,2022-06-28 11:18:56.908,2022-06-28 11:18:57.619,364,2022-06-28 11:18:57.311
206,StartSaying,CUCHARA,2022-06-28 11:18:57.619,2022-06-28 11:18:59.625,1027,2022-06-28 11:18:58.022
207,EndSaying,CUCHARA,2022-06-28 11:18:59.625,2022-06-28 11:19:01.373,895,2022-06-28 11:19:00.028
208,StartReading,CALCETÍN,2022-06-28 11:19:01.373,2022-06-28 11:19:02.085,365,2022-06-28 11:19:01.775
209,StartSaying,CALCETÍN,2022-06-28 11:19:02.085,2022-06-28 11:19:04.089,1026,2022-06-28 11:19:02.488
210,EndSaying,CALCETÍN,2022-06-28 11:19:04.089,2022-06-28 11:19:05.769,860,2022-06-28 11:19:04.494
211,StartReading,CUCHILLO,2022-06-28 11:19:05.769,2022-06-28 11:19:06.478,363,2022-06-28 11:19:06.172
212,StartSaying,CUCHILLO,2022-06-28 11:19:06.478,2022-06-28 11:19:08.482,1026,2022-06-28 11:19:06.881
213,EndSaying,CUCHILLO,2022-06-28 11:19:08.482,2022-06-28 11:19:10.433,999,2022-06-28 11:19:08.885
214,StartReading,PERRO,2022-06-28 11:19:10.433,2022-06-28 11:19:11.144,364,2022-06-28 11:19:10.837
215,StartSaying,PERRO,2022-06-28 11:19:11.144,2022-06-28 11:19:13.148,1026,2022-06-28 11:19:11.547
216,EndSaying,PERRO,2022-06-28 11:19:13.148,2022-06-28 11:19:17.568,2263,2022-06-28 11:19:13.551
217,StartBlockThinking,,2022-06-28 11:19:17.568,2022-06-28 11:19:19.117,793,2022-06-28 11:19:17.971
218,StartReading,ZAPATO,2022-06-28 11:19:19.117,2022-06-28 11:19:19.824,362,2022-06-28 11:19:19.519
219,StartSaying,ZAPATO,2022-06-28 11:19:19.824,2022-06-28 11:19:21.833,1029,2022-06-28 11:19:20.228
220,EndSaying,ZAPATO,2022-06-28 11:19:21.833,2022-06-28 11:19:23.615,912,2022-06-28 11:19:22.236
221,StartReading,CAMISETA,2022-06-28 11:19:23.615,2022-06-28 11:19:24.324,363,2022-06-28 11:19:24.017
222,StartSaying,CAMISETA,2022-06-28 11:19:24.324,2022-06-28 11:19:26.332,1028,2022-06-28 11:19:24.727
223,EndSaying,CAMISETA,2022-06-28 11:19:26.332,2022-06-28 11:19:28.060,885,2022-06-28 11:19:26.734
224,StartReading,TOMATE,2022-06-28 11:19:28.060,2022-06-28 11:19:28.769,363,2022-06-28 11:19:28.462
225,EndReading,TOMATE,2022-06-28 11:19:28.769,2022-06-28 11:19:30.779,1029,2022-06-28 11:19:29.173
226,EndSaying,TOMATE,2022-06-28 11:19:30.779,2022-06-28 11:19:32.396,828,2022-06-28 11:19:31.181
